订单日期,地区,客户类型,商品类别,商品名称,销售额,订单数,毛利率
2025-03-04,华南,大型企业,数据服务,经营看板服务,315500,18,0.5625
2025-03-06,华南,大型企业,办公软件,表格分析套件,156300,11,0.469
2025-03-06,华东,中小企业,协作工具,项目协作空间,40900,8,0.5166
2025-03-06,西南,中小企业,AI 应用,知识问答助手,76800,7,0.6883
2025-03-08,西南,教育机构,AI 应用,销售分析助手,63300,10,0.6139
2025-03-11,西南,大型企业,办公软件,表格分析套件,157800,14,0.5145
2025-03-12,华南,中小企业,数据服务,数据集成服务,185700,13,0.62
2025-03-13,华北,中小企业,协作工具,团队会议平台,43700,9,0.5309
2025-03-14,西南,大型企业,协作工具,项目协作空间,174900,13,0.5237
2025-03-14,华南,大型企业,协作工具,知识库协同版,160300,11,0.5823
2025-03-15,华南,中小企业,协作工具,项目协作空间,17300,3,0.5108
2025-03-16,西南,政府机构,协作工具,项目协作空间,107500,10,0.535
2025-03-16,华东,中小企业,AI 应用,知识问答助手,51500,4,0.6596
2025-03-17,华东,政府机构,AI 应用,知识问答助手,245600,10,0.6648
2025-03-18,华北,大型企业,AI 应用,销售分析助手,193000,10,0.6197
2025-03-20,华东,中小企业,办公软件,表格分析套件,21500,4,0.5167
2025-03-20,华南,中小企业,办公软件,表格分析套件,52300,6,0.5071
2025-03-22,西南,大型企业,办公软件,流程审批模块,115400,13,0.5057
2025-03-24,西南,大型企业,数据服务,数据集成服务,116000,8,0.5829
2025-03-24,华南,中小企业,协作工具,团队会议平台,46700,5,0.5621
2025-03-27,华东,政府机构,协作工具,知识库协同版,27900,3,0.5924
2025-03-28,西南,政府机构,协作工具,项目协作空间,100100,9,0.5546
2025-03-30,华南,中小企业,办公软件,流程审批模块,36200,6,0.5137
2025-03-31,西南,教育机构,协作工具,知识库协同版,10100,3,0.5594
2025-03-31,华南,教育机构,AI 应用,智能客服助手,29500,2,0.7043
2025-04-03,华东,政府机构,AI 应用,智能客服助手,148700,10,0.6587
2025-04-03,华东,大型企业,办公软件,流程审批模块,114500,8,0.4957
2025-04-05,华北,中小企业,办公软件,文档协同套件,43600,9,0.5056
2025-04-07,华南,中小企业,AI 应用,销售分析助手,90800,5,0.6722
2025-04-08,华南,政府机构,协作工具,项目协作空间,84700,10,0.5528
2025-04-08,华南,政府机构,协作工具,团队会议平台,93700,11,0.5199
2025-04-10,华南,中小企业,办公软件,表格分析套件,57900,6,0.4699
2025-04-11,华东,中小企业,协作工具,项目协作空间,51100,4,0.5421
2025-04-12,华南,教育机构,协作工具,团队会议平台,34600,5,0.6031
2025-04-13,华北,中小企业,办公软件,文档协同套件,29000,4,0.522
2025-04-14,华北,中小企业,AI 应用,智能客服助手,50500,5,0.69
2025-04-14,西南,政府机构,AI 应用,智能客服助手,56900,6,0.6742
2025-04-16,华南,大型企业,AI 应用,智能客服助手,331500,12,0.6442
2025-04-17,华东,政府机构,办公软件,表格分析套件,76000,10,0.5161
2025-04-19,华北,中小企业,数据服务,数据集成服务,19100,2,0.5875
2025-04-19,华北,中小企业,协作工具,项目协作空间,21900,5,0.6034
2025-04-20,华北,中小企业,AI 应用,智能客服助手,56500,6,0.6398
2025-04-20,华东,中小企业,协作工具,团队会议平台,70400,10,0.5997
2025-04-20,华北,中小企业,协作工具,知识库协同版,90500,10,0.6011
2025-04-20,华南,中小企业,协作工具,团队会议平台,62800,6,0.5282
2025-04-21,华北,政府机构,AI 应用,智能客服助手,61100,5,0.6587
2025-04-25,华北,中小企业,办公软件,文档协同套件,73300,14,0.5604
2025-04-27,华东,大型企业,办公软件,表格分析套件,176100,16,0.5355
2025-04-27,西南,政府机构,协作工具,团队会议平台,30600,5,0.556
2025-04-28,华东,中小企业,办公软件,文档协同套件,39000,5,0.4994
2025-04-30,华南,教育机构,协作工具,知识库协同版,61200,10,0.5863
2025-04-30,华北,教育机构,数据服务,数据集成服务,121200,12,0.6337
2025-05-02,华南,政府机构,协作工具,知识库协同版,64000,5,0.4985
2025-05-03,华东,大型企业,办公软件,表格分析套件,173800,18,0.5569
2025-05-04,华北,中小企业,办公软件,流程审批模块,28000,4,0.5122
2025-05-05,华东,教育机构,AI 应用,销售分析助手,79800,9,0.6748
2025-05-09,华北,中小企业,AI 应用,销售分析助手,84100,8,0.661
2025-05-09,华南,政府机构,办公软件,流程审批模块,73400,8,0.4579
2025-05-12,华东,教育机构,协作工具,项目协作空间,87600,10,0.5794
2025-05-13,西南,大型企业,办公软件,流程审批模块,75900,13,0.5223
2025-05-17,华南,中小企业,办公软件,流程审批模块,44500,7,0.5044
2025-05-19,华东,教育机构,AI 应用,知识问答助手,80700,6,0.7007
2025-05-19,华东,教育机构,数据服务,经营看板服务,103600,9,0.5953
2025-05-20,华南,大型企业,AI 应用,销售分析助手,618900,20,0.6585
2025-05-22,华北,教育机构,办公软件,表格分析套件,14900,5,0.5174
2025-05-24,华东,大型企业,数据服务,经营看板服务,285000,16,0.6061
2025-05-24,华北,大型企业,数据服务,数据集成服务,122000,12,0.581
2025-05-25,华北,大型企业,协作工具,项目协作空间,86700,13,0.6046
2025-05-26,华东,大型企业,办公软件,文档协同套件,121200,10,0.5362
2025-05-27,华南,中小企业,办公软件,流程审批模块,6700,1,0.4846
2025-05-27,华东,政府机构,数据服务,数据集成服务,103800,10,0.5643
2025-05-30,华北,中小企业,协作工具,知识库协同版,92000,11,0.5512
2025-05-31,华北,政府机构,数据服务,指标治理服务,43900,4,0.5525
2025-05-31,华南,中小企业,办公软件,表格分析套件,32100,6,0.5191
2025-05-31,西南,大型企业,协作工具,项目协作空间,100300,14,0.5103
2025-06-01,华东,中小企业,办公软件,表格分析套件,104800,11,0.5336
2025-06-01,西南,大型企业,AI 应用,知识问答助手,283000,13,0.6383
2025-06-02,华东,中小企业,数据服务,数据集成服务,55200,7,0.6278
2025-06-03,西南,教育机构,办公软件,表格分析套件,23900,4,0.5626
2025-06-05,华东,中小企业,协作工具,知识库协同版,48600,5,0.5608
2025-06-06,华南,中小企业,协作工具,团队会议平台,76000,6,0.5239
2025-06-07,华北,政府机构,协作工具,团队会议平台,52700,5,0.5581
2025-06-07,西南,政府机构,办公软件,流程审批模块,58800,7,0.5271
2025-06-10,华东,中小企业,协作工具,项目协作空间,67300,5,0.5503
2025-06-12,华南,大型企业,数据服务,数据集成服务,288900,12,0.6266
2025-06-12,华东,中小企业,AI 应用,智能客服助手,145000,7,0.6997
2025-06-14,华东,教育机构,协作工具,知识库协同版,17500,3,0.5902
2025-06-17,华南,教育机构,协作工具,项目协作空间,30100,7,0.5667
2025-06-17,华南,中小企业,协作工具,团队会议平台,73900,6,0.5781
2025-06-18,华北,中小企业,办公软件,文档协同套件,27600,3,0.508
2025-06-18,华南,教育机构,协作工具,知识库协同版,36300,4,0.5091
2025-06-18,华南,大型企业,协作工具,团队会议平台,74600,8,0.5509
2025-06-24,西南,教育机构,AI 应用,智能客服助手,14100,1,0.6946
2025-06-27,华南,中小企业,数据服务,经营看板服务,117100,9,0.6417
2025-06-27,华东,政府机构,协作工具,团队会议平台,119300,10,0.5813
2025-06-29,华东,教育机构,办公软件,表格分析套件,19500,2,0.5738
2025-07-01,华东,教育机构,协作工具,团队会议平台,6500,1,0.6043
2025-07-04,华东,中小企业,协作工具,团队会议平台,127200,10,0.5581
2025-07-05,华北,教育机构,AI 应用,智能客服助手,15500,2,0.6639
2025-07-09,华南,中小企业,协作工具,项目协作空间,98100,9,0.5677
2025-07-11,西南,大型企业,协作工具,项目协作空间,183400,15,0.59
2025-07-13,华南,政府机构,协作工具,团队会议平台,50300,5,0.564
2025-07-14,华东,中小企业,AI 应用,智能客服助手,112600,6,0.6891
2025-07-14,华南,教育机构,协作工具,知识库协同版,24700,4,0.5913
2025-07-15,华南,政府机构,协作工具,知识库协同版,93700,7,0.5137
2025-07-17,华北,中小企业,AI 应用,知识问答助手,89100,10,0.6518
2025-07-17,华北,中小企业,协作工具,团队会议平台,10200,1,0.53
2025-07-19,西南,教育机构,AI 应用,知识问答助手,11900,2,0.659
2025-07-21,华东,教育机构,AI 应用,智能客服助手,52800,3,0.6317
2025-07-21,华北,大型企业,办公软件,流程审批模块,145300,13,0.5571
2025-07-22,华北,政府机构,AI 应用,智能客服助手,14900,1,0.6175
2025-07-22,华南,中小企业,数据服务,指标治理服务,42400,4,0.6249
2025-07-23,华南,中小企业,AI 应用,知识问答助手,121500,7,0.6738
2025-07-23,华南,教育机构,办公软件,表格分析套件,32600,5,0.5617
2025-07-24,华南,中小企业,AI 应用,销售分析助手,177200,10,0.6476
2025-07-24,西南,政府机构,办公软件,表格分析套件,59800,10,0.5066
2025-07-26,华东,中小企业,协作工具,知识库协同版,54600,5,0.6114
2025-07-28,华南,中小企业,AI 应用,知识问答助手,87700,6,0.6728
2025-07-28,华北,政府机构,协作工具,团队会议平台,77300,8,0.5065
2025-08-03,华北,教育机构,AI 应用,智能客服助手,24400,3,0.6162
2025-08-05,华东,中小企业,协作工具,团队会议平台,45500,8,0.5438
2025-08-06,华东,教育机构,AI 应用,智能客服助手,48200,3,0.6574
2025-08-08,华北,教育机构,协作工具,知识库协同版,32200,9,0.5518
2025-08-08,华南,大型企业,办公软件,表格分析套件,50200,6,0.492
2025-08-10,西南,大型企业,办公软件,流程审批模块,123300,21,0.5247
2025-08-10,华南,中小企业,数据服务,数据集成服务,18800,3,0.6145
2025-08-11,华东,大型企业,办公软件,文档协同套件,267700,18,0.5145
2025-08-11,华东,教育机构,AI 应用,销售分析助手,105200,6,0.6438
2025-08-14,华东,中小企业,办公软件,文档协同套件,50400,8,0.4906
2025-08-15,西南,中小企业,数据服务,指标治理服务,76900,8,0.5983
2025-08-16,华南,中小企业,数据服务,经营看板服务,59700,8,0.6377
2025-08-16,华东,中小企业,办公软件,文档协同套件,19000,3,0.4917
2025-08-17,华北,中小企业,办公软件,文档协同套件,116000,13,0.5338
2025-08-18,华南,中小企业,办公软件,流程审批模块,20400,2,0.4767
2025-08-18,华东,中小企业,AI 应用,智能客服助手,148700,8,0.6319
2025-08-20,华北,教育机构,协作工具,项目协作空间,27100,3,0.5685
2025-08-21,华南,中小企业,协作工具,项目协作空间,46500,4,0.5082
2025-08-22,华北,政府机构,AI 应用,销售分析助手,8700,1,0.6442
2025-08-22,华东,中小企业,AI 应用,知识问答助手,111700,6,0.71
2025-08-23,华东,大型企业,数据服务,数据集成服务,231000,12,0.6235
2025-08-24,华东,政府机构,数据服务,经营看板服务,125200,10,0.6014
2025-08-27,华南,中小企业,办公软件,流程审批模块,30200,4,0.4901
2025-08-29,华南,教育机构,协作工具,知识库协同版,50200,5,0.5804
2025-08-30,华南,大型企业,协作工具,项目协作空间,242800,13,0.5481
2025-08-31,华北,中小企业,AI 应用,销售分析助手,58600,5,0.6467
2025-09-02,华南,教育机构,数据服务,数据集成服务,32400,3,0.6376
2025-09-03,华东,政府机构,办公软件,流程审批模块,51300,4,0.5059
2025-09-03,西南,大型企业,协作工具,项目协作空间,138500,16,0.5651
2025-09-03,华南,政府机构,办公软件,表格分析套件,54400,5,0.4586
2025-09-05,华南,大型企业,办公软件,文档协同套件,120600,8,0.5567
2025-09-06,华东,政府机构,协作工具,团队会议平台,44400,4,0.5872
2025-09-06,华东,教育机构,办公软件,流程审批模块,41900,9,0.4882
2025-09-06,华北,大型企业,办公软件,流程审批模块,193800,16,0.5513
2025-09-06,华北,教育机构,协作工具,知识库协同版,29500,5,0.5272
2025-09-07,华东,政府机构,协作工具,团队会议平台,52300,5,0.5895
2025-09-08,华南,教育机构,协作工具,项目协作空间,10200,1,0.506
2025-09-08,华南,大型企业,办公软件,文档协同套件,242900,15,0.4813
2025-09-10,华北,教育机构,AI 应用,销售分析助手,64400,4,0.6538
2025-09-10,华东,中小企业,办公软件,表格分析套件,16300,2,0.4761
2025-09-11,华东,大型企业,数据服务,数据集成服务,257800,15,0.59
2025-09-11,华东,大型企业,AI 应用,知识问答助手,498000,15,0.6223
2025-09-12,华南,中小企业,办公软件,流程审批模块,33000,5,0.4902
2025-09-12,华南,中小企业,办公软件,流程审批模块,60300,6,0.506
2025-09-14,华南,大型企业,协作工具,团队会议平台,81600,9,0.5213
2025-09-17,华北,教育机构,协作工具,知识库协同版,48900,6,0.5979
2025-09-19,西南,教育机构,办公软件,文档协同套件,21000,3,0.5447
2025-09-21,华东,中小企业,协作工具,知识库协同版,132500,9,0.6122
2025-09-23,西南,中小企业,数据服务,指标治理服务,40100,3,0.6365
2025-09-23,西南,中小企业,AI 应用,智能客服助手,187900,11,0.6647
2025-09-24,西南,教育机构,数据服务,指标治理服务,23000,2,0.618
2025-09-24,西南,教育机构,协作工具,项目协作空间,83000,9,0.5999
2025-09-25,西南,教育机构,数据服务,经营看板服务,62700,6,0.5877
2025-09-26,华东,中小企业,办公软件,文档协同套件,72700,6,0.5155
2025-09-26,华东,教育机构,协作工具,项目协作空间,21200,2,0.5511
2025-09-27,华东,大型企业,AI 应用,知识问答助手,592800,16,0.6402
2025-09-27,华南,中小企业,协作工具,知识库协同版,75900,10,0.5301
2025-09-29,华东,政府机构,协作工具,团队会议平台,88100,9,0.5081
2025-09-30,西南,大型企业,协作工具,知识库协同版,65200,9,0.5963
2025-09-30,华北,教育机构,办公软件,文档协同套件,37200,5,0.5053
2025-09-30,华南,大型企业,办公软件,流程审批模块,147400,10,0.5573
2025-10-02,华东,中小企业,协作工具,项目协作空间,38300,4,0.5898
2025-10-03,华东,大型企业,数据服务,数据集成服务,231500,12,0.6129
2025-10-05,华南,中小企业,AI 应用,智能客服助手,103400,5,0.6239
2025-10-05,华东,中小企业,协作工具,项目协作空间,112900,9,0.5755
2025-10-07,华东,中小企业,协作工具,知识库协同版,31500,3,0.5952
2025-10-07,华南,中小企业,协作工具,团队会议平台,8700,1,0.5105
2025-10-07,华东,中小企业,数据服务,指标治理服务,199800,13,0.6016
2025-10-08,华北,中小企业,协作工具,知识库协同版,60100,9,0.5328
2025-10-11,华南,政府机构,协作工具,知识库协同版,178400,11,0.5162
2025-10-12,西南,中小企业,协作工具,知识库协同版,48600,6,0.5226
2025-10-13,西南,中小企业,AI 应用,智能客服助手,84000,6,0.6727
2025-10-14,西南,中小企业,办公软件,文档协同套件,48600,10,0.5503
2025-10-16,西南,中小企业,办公软件,文档协同套件,28500,6,0.5172
2025-10-18,华南,中小企业,数据服务,指标治理服务,7400,1,0.567
2025-10-19,西南,中小企业,AI 应用,智能客服助手,8200,1,0.6141
2025-10-19,华北,教育机构,办公软件,流程审批模块,33900,4,0.4878
2025-10-19,华北,政府机构,AI 应用,知识问答助手,71800,7,0.6884
2025-10-19,华南,教育机构,协作工具,团队会议平台,34300,4,0.5352
2025-10-20,华东,中小企业,AI 应用,智能客服助手,123200,6,0.6249
2025-10-21,西南,大型企业,数据服务,数据集成服务,210900,13,0.5587
2025-10-21,华南,政府机构,协作工具,知识库协同版,99700,9,0.5102
2025-10-22,华南,中小企业,数据服务,经营看板服务,168800,10,0.5552
2025-10-22,华东,中小企业,办公软件,流程审批模块,61800,7,0.5283
2025-10-22,华南,大型企业,AI 应用,销售分析助手,259000,14,0.6821
2025-10-23,华北,大型企业,数据服务,指标治理服务,219300,9,0.6254
2025-10-24,华东,大型企业,协作工具,团队会议平台,248900,17,0.6021
2025-10-25,华东,教育机构,协作工具,知识库协同版,25900,2,0.5767
2025-10-26,西南,教育机构,AI 应用,知识问答助手,45500,5,0.6907
2025-10-27,华北,中小企业,协作工具,知识库协同版,20200,4,0.5729
2025-10-27,华东,中小企业,协作工具,团队会议平台,65600,6,0.5863
2025-10-29,华东,中小企业,办公软件,流程审批模块,69700,7,0.5674
2025-10-29,华南,大型企业,办公软件,表格分析套件,174700,12,0.5616
2025-10-31,华东,中小企业,数据服务,经营看板服务,101700,5,0.6129
2025-11-01,西南,教育机构,办公软件,表格分析套件,8300,1,0.4826
2025-11-01,西南,大型企业,AI 应用,智能客服助手,109400,7,0.6642
2025-11-04,华东,政府机构,协作工具,项目协作空间,67100,6,0.5899
2025-11-06,华东,中小企业,协作工具,项目协作空间,91600,8,0.5901
2025-11-06,华南,中小企业,AI 应用,销售分析助手,151800,9,0.6794
2025-11-08,华东,政府机构,办公软件,表格分析套件,50300,3,0.464
2025-11-08,华南,大型企业,数据服务,数据集成服务,348900,16,0.5818
2025-11-09,华东,大型企业,协作工具,团队会议平台,252700,14,0.5499
2025-11-09,华北,中小企业,办公软件,文档协同套件,31700,6,0.5621
2025-11-13,华北,大型企业,数据服务,指标治理服务,250400,12,0.6186
2025-11-14,华东,大型企业,AI 应用,销售分析助手,488200,19,0.6346
2025-11-17,华南,中小企业,协作工具,团队会议平台,43700,4,0.5935
2025-11-17,华东,中小企业,协作工具,知识库协同版,47200,3,0.5955
2025-11-18,华东,中小企业,协作工具,知识库协同版,30800,2,0.61
2025-11-19,华北,大型企业,办公软件,文档协同套件,154200,16,0.5142
2025-11-20,华东,大型企业,AI 应用,知识问答助手,318400,14,0.6538
2025-11-21,西南,中小企业,协作工具,知识库协同版,29800,3,0.5703
2025-11-21,华南,教育机构,数据服务,数据集成服务,14400,1,0.6309
2025-11-22,华北,政府机构,办公软件,流程审批模块,59100,10,0.4508
2025-11-22,华东,中小企业,协作工具,团队会议平台,101800,11,0.5385
2025-11-22,华东,中小企业,数据服务,数据集成服务,107800,10,0.5811
2025-11-22,华南,中小企业,AI 应用,销售分析助手,53700,4,0.6323
2025-11-23,华东,政府机构,协作工具,知识库协同版,237000,14,0.5884
2025-11-24,西南,教育机构,办公软件,表格分析套件,31500,5,0.4926
2025-11-24,华南,大型企业,办公软件,表格分析套件,305200,18,0.5176
2025-11-24,华北,中小企业,数据服务,数据集成服务,64000,4,0.5565
2025-11-25,西南,政府机构,办公软件,流程审批模块,56300,6,0.4686
2025-11-28,华东,大型企业,办公软件,流程审批模块,102500,5,0.5638
2025-11-29,华东,中小企业,AI 应用,销售分析助手,61500,4,0.6437
2025-11-30,西南,政府机构,AI 应用,智能客服助手,96300,4,0.6092
2025-12-01,华东,教育机构,数据服务,经营看板服务,73000,7,0.5899
2025-12-02,华南,政府机构,数据服务,经营看板服务,50000,2,0.5975
2025-12-02,华南,政府机构,AI 应用,销售分析助手,275600,9,0.6346
2025-12-03,华北,政府机构,办公软件,表格分析套件,30600,5,0.5377
2025-12-03,西南,教育机构,办公软件,表格分析套件,47400,6,0.5458
2025-12-04,华南,教育机构,数据服务,经营看板服务,45500,4,0.635
2025-12-05,华北,大型企业,协作工具,项目协作空间,299300,13,0.5726
2025-12-05,华北,中小企业,协作工具,项目协作空间,37600,3,0.5232
2025-12-06,华南,中小企业,AI 应用,销售分析助手,46200,4,0.6713
2025-12-08,华南,中小企业,协作工具,团队会议平台,69600,5,0.5823
2025-12-08,华北,教育机构,办公软件,表格分析套件,20000,2,0.508
2025-12-09,华东,中小企业,办公软件,流程审批模块,33800,4,0.478
2025-12-09,华北,中小企业,AI 应用,销售分析助手,23400,2,0.6336
2025-12-10,华北,中小企业,协作工具,团队会议平台,62800,8,0.5371
2025-12-11,华东,中小企业,AI 应用,销售分析助手,168600,6,0.7044
2025-12-11,华北,中小企业,AI 应用,知识问答助手,129300,6,0.6913
2025-12-13,华南,中小企业,AI 应用,智能客服助手,292600,11,0.6693
2025-12-13,华南,教育机构,协作工具,团队会议平台,5500,1,0.5154
2025-12-14,华南,教育机构,协作工具,知识库协同版,110200,13,0.5498
2025-12-16,华南,中小企业,协作工具,知识库协同版,90300,10,0.572
2025-12-16,华东,大型企业,AI 应用,销售分析助手,153800,7,0.6645
2025-12-18,华东,中小企业,办公软件,文档协同套件,39600,5,0.5217
2025-12-18,华南,中小企业,办公软件,文档协同套件,79300,11,0.5248
2025-12-19,华南,大型企业,协作工具,项目协作空间,199700,12,0.5162
2025-12-21,华南,中小企业,数据服务,数据集成服务,52100,5,0.6446
2025-12-22,华北,中小企业,协作工具,项目协作空间,88400,9,0.5424
2025-12-22,华北,中小企业,AI 应用,销售分析助手,106600,5,0.625
2025-12-22,华东,政府机构,数据服务,经营看板服务,188700,8,0.6154
2025-12-24,华东,中小企业,数据服务,数据集成服务,21400,2,0.6235
2025-12-24,华南,政府机构,数据服务,经营看板服务,20900,2,0.5454
2025-12-25,华东,政府机构,AI 应用,销售分析助手,203700,8,0.6448
2025-12-26,华南,大型企业,AI 应用,智能客服助手,242900,13,0.6317
2025-12-26,华南,中小企业,办公软件,表格分析套件,57100,6,0.5046
2025-12-27,华北,大型企业,数据服务,经营看板服务,103500,8,0.6219
2025-12-28,华东,政府机构,数据服务,指标治理服务,40100,3,0.629
2025-12-29,华南,教育机构,办公软件,文档协同套件,11100,1,0.4947
2025-12-29,华东,政府机构,办公软件,表格分析套件,11100,1,0.4739
2025-12-29,华南,大型企业,办公软件,流程审批模块,171300,11,0.5001
